Turbine_ID,Wind_Speed,Rotor_Speed,Power_Output,Temperature,Vibration,Turbine_Age,Maintenance_History,Anomaly
52,15.91050459645934,23.155628495542143,1172.4584423628123,31.377652613702345,4.807209580804063,6,1,0
93,19.39966843205526,28.006820373575955,251.82955854366998,-1.4645818343759913,8.506070397590893,9,0,1
15,12.496510017052946,14.382137338191928,2325.946122701963,-8.476815684551994,3.8956316964767637,3,0,0
72,5.806766661502403,56.84789115155314,1307.8628525212491,0.22241862321365247,1.765958026226357,8,1,0
61,9.243069927571938,37.69011203561881,2484.3216717676273,7.020577805712982,8.38077770545171,13,1,1
21,10.987810520769973,25.276215532901176,2566.009203247697,15.529037872977995,5.534205353236709,1,0,0
83,17.210179309295228,29.849075853714172,714.7827586261084,20.75645702705999,1.9730383446645137,8,1,0
87,15.557122702716061,32.36012702524178,2006.3250982933728,35.53028586072109,7.231801586005813,0,1,0
75,10.834127969752618,40.029716668030865,1469.6172320726469,15.492700477522884,5.160025021046055,9,0,0
75,24.703335473445552,35.78397138482489,2652.4545399723065,15.063782231286467,6.0826985241791665,9,0,0
88,16.327046025851516,55.96959866072087,725.6479696117169,-7.487849508850894,4.662893548245161,19,0,1
100,8.218989418191878,34.84817414529151,2065.658280899128,-8.254422367188809,8.304218939798263,2,1,1
24,5.239214397648882,59.607900741165636,1862.4811545328955,17.557998095818604,8.312670885262193,5,1,1
3,6.362901062055305,52.571247887254785,956.3742849583151,11.908930662417227,7.122949336061423,5,1,0
22,8.411070024459178,20.42552571786679,496.1426205884006,31.959019749014928,1.1434736362249767,1,1,0
53,6.534990211710225,56.52976073219581,1989.755305384102,-1.966020764407741,8.404653232850281,17,0,1
2,7.104474529128726,15.818319894273804,2241.932628583759,-8.75141689414752,6.743028507275807,1,1,0
88,9.272093711264636,50.87248542455958,1015.319296913715,12.451938396506293,7.000539243442565,11,0,0
30,6.8142190964846066,29.031164673829004,1970.01455166471,1.8739278376128752,3.6935301199983295,4,1,0
38,22.728839341781352,53.898716022253474,1245.8796320733595,-7.519281333058128,8.804867605954366,19,1,1
2,4.765142404556128,53.40283450537252,2168.2999615195913,26.22991434238145,7.2811788423250885,6,0,0
64,14.539250570545603,50.296270005881055,677.724297192754,-4.420350002137626,1.2146456186390253,15,1,0
60,12.028730193772553,49.50152181535307,2681.6235076449057,20.415975000388585,4.13700254062101,19,1,1
21,24.612329571989342,25.23395695490204,933.4878297501812,4.052487508344457,8.875165583405403,0,0,1
33,5.464855847697152,14.04596415256261,1166.5793644928433,-1.3251974822488997,0.5672473468040521,0,1,0
76,11.752823179006317,30.149008938258074,268.46666103301436,8.987576145965875,9.61802453445629,16,0,1
